inlf,nwifeinc,educ,exper,expersq,age,kidslt6,kidsge6,hours
1,19.99399948,12,10,100,48,0,2,480
1,14.13000011,12,6,36,30,0,3,1900
1,5.000012875,12,4,16,34,0,2,576
1,21.15489769,16,10,100,48,0,2,2056
1,7.141945839,12,22,484,45,0,0,1984
1,16.6500721,12,16,256,51,0,0,2640
1,6.35199976,12,6,36,30,0,2,240
1,27.31394768,12,12,144,46,0,1,1173
1,14.50000381,12,32,1024,58,0,0,3640
1,16.25798988,12,15,225,37,0,8,340
1,9.5,8,17,289,52,0,0,500
1,7.999956131,10,34,1156,52,0,0,1599
1,12.50002861,16,9,81,31,0,0,1830
1,14.00003242,14,37,1369,55,0,0,1920
1,20.80007362,17,10,100,34,0,0,2052
1,19.38511276,14,35,1225,55,0,0,2312
1,12.3869915,12,6,36,39,0,2,196
1,28.5,14,19,361,40,0,3,2500
1,15.04990864,12,10,100,43,0,4,1980
1,10.49998379,8,11,121,48,0,0,1840
1,11.81000042,12,15,225,47,0,0,320
1,6.950073242,12,12,144,41,0,4,419
1,12.41997147,8,12,144,36,0,0,1880
1,17.40000343,17,14,196,46,0,2,72
1,15.49999619,12,11,121,34,0,0,120
1,21.21704292,12,9,81,41,0,3,1885
1,18,12,24,576,51,0,1,240
1,11.89991856,12,12,144,33,0,0,1729
1,26.75195503,12,13,169,52,0,0,1850
1,12.14996147,9,29,841,58,0,0,2033
1,10.19999027,10,11,121,34,2,4,608
1,8.120015144,12,13,169,31,0,1,1153
1,10.65996456,12,19,361,48,0,1,2208
1,18.10000992,12,2,4,32,0,2,252
1,8.599986076,17,24,576,49,0,0,337
1,13.66499996,15,9,81,32,2,2,90
1,32.34996033,12,6,36,58,0,0,1174
1,12.08500576,6,22,484,50,0,0,372
1,12.14999962,14,30,900,60,0,0,30
1,17.69502068,12,10,100,50,0,1,1800
1,24.70000076,14,6,36,56,0,0,282
1,2.133991957,9,29,841,51,0,0,720
1,20.95004845,17,29,841,54,0,1,1440
1,10.50008011,13,36,1296,59,0,0,2100
1,10.55000019,9,19,361,46,0,2,1000
1,45.75,15,8,64,46,0,1,952
1,13.63204002,12,13,169,39,1,3,1413
1,18.23893929,12,16,256,44,0,2,2100
1,17.08999634,12,11,121,33,2,0,120
1,30.23489952,12,15,225,33,1,2,3000
1,28.70000076,12,6,36,48,0,2,1000
1,19.62999535,12,13,169,31,0,4,336
1,12.82494259,12,22,484,45,0,1,1216
1,23.79999924,12,24,576,45,0,1,988
1,26.30002594,13,2,4,32,0,2,2581
1,20.6999073,12,6,36,47,0,0,2030
1,26.00000381,13,2,4,34,0,2,413
1,10.87702084,12,2,4,37,0,1,782
1,25.61206245,12,14,196,36,0,1,1388
1,20.9889946,12,9,81,47,1,2,1450
1,70.74993134,16,11,121,48,0,1,1720
1,17.04999924,12,9,81,42,0,2,800
1,20.99999619,13,6,36,33,0,3,360
1,8.119999886,11,19,361,46,0,0,2000
1,20.88599014,12,26,676,47,0,3,1176
1,17.66891861,12,19,361,44,0,1,2058
1,25.20002937,12,3,9,36,0,4,900
1,14.24500561,17,7,49,31,2,0,215
1,14.30000019,14,28,784,55,0,0,2000
1,23.7000103,16,13,169,45,0,1,757
1,45.99999619,17,9,81,47,0,0,1264
1,42.99990463,12,15,225,46,0,3,2064
1,14.7489996,11,20,400,49,0,0,1280
1,16.15005493,12,29,841,49,0,0,1715
1,17.77400017,12,9,81,45,0,2,2000
1,91,17,1,1,38,1,3,12
1,22.29993439,10,8,64,47,0,0,1528
1,34.60001373,13,19,361,54,0,3,561
1,9.620001793,11,23,529,41,0,0,2058
1,10.89994621,12,3,9,43,0,2,1823
1,14.49994373,16,13,169,31,1,1,1680
1,22.00001526,17,8,64,47,0,0,1440
1,17.90007973,12,17,289,35,0,2,4950
1,23.67506218,16,4,16,45,0,3,1176
1,11.79996014,12,15,225,33,1,0,1100
1,16.14195442,16,11,121,54,0,1,1516
1,18.39997101,8,7,49,35,0,4,900
1,15.49994755,12,0,0,31,1,2,1080
1,17.3239994,12,0,0,55,0,0,480
1,19.20500374,12,10,100,34,0,2,288
1,21.30006218,13,8,64,38,0,1,1875
1,23.55999565,11,2,4,45,0,1,630
1,20.85000038,12,4,16,47,0,1,234
1,26.14999962,12,6,36,39,0,2,1600
1,17,14,18,324,36,1,0,960
1,20.72000313,12,3,9,33,1,2,120
1,17.00008965,12,22,484,50,0,0,2025
1,15.99999809,12,33,1089,58,0,0,1809
1,19.50004959,17,28,784,49,0,0,3087
1,12.00000381,14,23,529,41,0,2,910
1,13.73191166,12,27,729,51,0,1,1840
1,27.19999123,9,11,121,53,0,0,784
1,5.315000057,12,6,36,36,1,2,400
1,16,12,11,121,46,0,2,1000
1,27.87198257,12,14,196,36,0,2,1904
1,40.00001144,14,17,289,53,0,1,1771
1,15.90003395,16,17,289,40,0,3,1486
1,27.49996948,17,14,196,42,0,2,740
1,17.02005005,15,11,121,33,1,1,1820
1,22.39493942,12,7,49,43,0,3,1275
1,11.10000038,16,8,64,31,1,0,450
1,32.70001221,17,6,36,47,0,0,1221
1,27.79996109,17,8,64,54,0,0,1550
1,2.199994087,12,4,16,33,1,3,180
1,19.72095108,16,25,625,43,0,0,2090
1,9.999987602,13,24,576,46,0,1,1960
1,13.19996834,12,11,121,35,0,3,1440
1,12.70897484,11,19,361,37,0,3,794
1,27.30004692,16,9,81,37,0,2,993
1,21.20000076,14,19,361,34,0,3,160
1,14.40000439,16,14,196,43,1,0,105
1,20.57596016,12,22,484,46,0,0,1200
1,12.49999046,9,6,36,35,0,3,450
1,17.50021553,17,23,529,46,0,0,996
1,44.00003815,14,15,225,46,0,0,1052
1,13.11895466,12,6,36,43,0,2,1128
1,14.00005627,12,11,121,30,0,0,1840
1,9.645086288,11,2,4,41,0,2,1910
1,17.39704514,12,22,484,54,0,1,980
1,7.799888611,12,10,100,31,0,1,2317
1,13.13397694,10,14,196,44,0,0,1089
1,25.60000038,12,12,144,32,0,1,800
1,13.90002537,5,9,81,47,0,0,1230
1,19.29794312,17,13,169,46,0,1,1158
1,9.200016022,11,18,324,37,0,0,2272
1,37.99998856,12,8,64,51,0,2,528
1,44,12,11,121,49,0,1,1000
1,21.37202454,14,9,81,36,0,4,520
1,23.66802025,11,9,81,39,0,1,760
1,9,12,14,196,48,0,2,1920
1,25.19995117,14,9,81,38,0,2,1220
1,21.21999931,12,2,4,40,0,2,200
1,33.96991348,10,12,144,39,1,5,2480
1,17.06999969,16,15,225,37,0,0,2750
1,6.016023636,13,11,121,49,0,1,2014
1,17.10000992,12,7,49,33,0,3,1355
1,8.237000465,12,9,81,30,0,0,80
1,13.30008221,12,19,361,54,0,0,1670
1,16.00002098,11,11,121,39,0,4,520
1,12.53999043,12,8,64,43,0,3,288
1,18.00003815,9,13,169,31,0,3,2014
1,31.20000076,13,4,16,33,0,3,800
1,20.74991035,12,7,49,40,0,3,1984
1,11.09992027,12,19,361,36,0,1,1823
1,20.68000031,12,14,196,51,0,0,1500
1,18.00000954,13,14,196,44,0,1,2261
1,32.43006516,16,3,9,42,0,3,1728
1,32.90003204,12,9,81,40,0,1,1960
1,24.1000061,16,7,49,34,1,1,1578
1,17.80039215,17,7,49,30,0,0,1316
1,20.50001717,12,14,196,54,0,0,1530
1,10.49989796,12,29,841,51,0,0,2220
1,10.43703461,9,19,361,44,0,2,1336
1,18.19499016,12,14,196,43,0,1,1008
1,12.84507656,12,16,256,34,0,1,1944
1,13.80000019,13,10,100,45,0,0,2000
1,22.19999504,12,12,144,39,0,0,258
1,6.699941158,12,24,576,50,0,0,1785
1,6.250015736,12,6,36,52,0,0,480
1,15.60000801,12,9,81,41,0,2,772
1,3.300009966,10,14,196,59,0,0,900
1,3.670977592,12,26,676,52,0,0,1428
1,7.789997101,16,7,49,46,0,0,210
1,18.27198982,12,4,16,41,1,5,239
1,10.95397949,11,15,225,33,0,2,1878
1,13.49999237,12,23,529,45,0,0,215
1,11.20001221,10,1,1,36,1,2,2340
1,20.99990845,12,29,841,48,0,1,1960
1,25.69999886,12,9,81,47,0,1,532
1,8.932993889,12,6,36,45,0,0,394
1,19.15997696,12,11,121,37,0,2,675
1,26.5899868,16,17,289,46,0,4,1515
1,22.40000534,17,6,36,43,0,3,1030
1,20.63299942,12,7,49,42,0,2,1250
1,28.20000648,17,2,4,34,1,2,1158
1,28.79999924,12,24,576,52,0,0,112
1,8.999997139,12,4,16,37,0,3,336
1,11.3999424,12,11,121,37,0,1,1984
1,10.40001392,8,25,625,52,0,0,716
1,19.08005524,12,11,121,30,1,0,1410
1,9.466039658,13,2,4,31,0,1,1300
1,6.500060081,12,19,361,38,0,1,1640
1,29.11701393,12,7,49,43,0,3,1202
1,19.10301971,8,2,4,49,0,1,489
1,16.34997177,12,20,400,55,0,0,2076
1,32.02501678,17,10,100,38,0,2,526
1,16.7000618,17,19,361,52,0,0,1721
1,4.81103754,12,17,289,48,0,0,1327
1,24.62600899,13,12,144,32,0,2,584
1,17.40001297,12,11,121,32,0,1,1376
1,13.02503967,12,6,36,38,0,2,1040
1,19.0069828,12,10,100,46,0,3,548
1,14.02999973,12,4,16,40,0,3,15
1,14.89990616,9,2,4,31,0,4,1980
1,25.00005531,10,13,169,43,0,1,1520
1,10.70006752,12,21,441,51,0,0,1880
1,24.25000381,16,9,81,30,1,0,1260
1,39.13996506,13,4,16,52,0,0,1092
1,7.199973106,8,2,4,30,1,5,1587
1,31.81099892,16,19,361,51,0,0,156
1,10.00004768,13,4,16,31,0,2,1939
1,20.65999985,12,9,81,34,0,4,1250
1,13.49997616,11,14,196,49,0,0,610
1,25.37999535,13,6,36,35,1,3,270
1,18.27497673,12,24,576,53,1,0,660
1,39.21300125,12,1,1,32,0,3,1000
1,10.4999361,10,13,169,38,0,3,1920
1,34.85699844,12,3,9,54,0,0,200
1,28.5019989,17,10,100,47,0,1,1500
1,12.99995995,15,16,256,45,0,1,868
1,41.39990997,16,9,81,47,0,1,2318
1,14.77999973,10,19,361,59,0,0,2000
1,15.04999828,11,4,16,32,0,1,60
1,29.69997787,12,10,100,45,0,1,1715
1,16.16501999,12,5,25,40,0,4,550
1,25.20515823,14,7,49,47,0,2,1960
1,14.19999886,16,3,9,36,1,2,44
1,18.15896797,14,38,1444,56,0,0,1920
1,28.98106384,8,16,256,41,0,1,2540
1,13.39200306,7,13,169,48,0,3,156
1,9.175020218,12,1,1,36,1,2,780
1,27.03984833,12,7,49,41,0,0,3120
1,13.14995193,14,15,225,41,0,0,2040
1,16.40007019,12,10,100,36,0,3,1610
1,21.29999161,12,2,4,37,0,3,215
1,17.20101547,12,19,361,38,0,0,1120
1,8.560026169,14,25,625,43,0,2,846
1,6.490839958,16,25,625,54,0,0,3225
1,12.49996758,12,7,49,38,0,1,1376
1,27.0000248,12,15,225,30,1,0,980
1,53.50004959,12,11,121,49,0,0,1838
1,52.49994659,13,25,625,45,0,1,1494
1,38.39997864,13,19,361,51,0,0,450
1,13.89194489,10,4,16,34,0,0,1976
1,3.899992943,12,14,196,34,0,2,2012
1,34.19999695,12,19,361,41,0,1,561
1,19.70007896,12,18,324,49,0,1,1715
1,18.49995232,12,14,196,32,0,0,1912
1,10.99997616,14,11,121,32,0,0,3686
1,43.30001068,17,4,16,32,0,2,1080
1,18.76000786,10,29,841,47,0,0,1799
1,4.800096035,9,21,441,39,0,1,1984
1,21.50000191,12,24,576,49,0,0,1839
1,28.03993797,12,19,361,37,0,3,1579
1,26.00000381,16,31,961,59,0,0,96
1,27,12,28,784,50,0,0,1920
1,17.79968834,17,15,225,32,0,1,1688
1,17.40194511,12,27,729,46,0,0,1589
1,19.30999184,17,13,169,43,0,2,345
1,9.999979973,11,4,16,37,0,3,1521
1,11.17998028,16,10,100,32,0,2,1490
1,18.85695648,11,8,64,39,0,1,989
1,12.30002022,13,4,16,34,0,2,600
1,13.6771183,11,18,324,39,0,1,2646
1,9.559996605,8,3,9,45,0,3,2149
1,24.49998474,11,11,121,50,0,0,320
1,23.14999962,12,8,64,40,0,1,1600
1,15.59088326,10,10,100,30,0,1,2419
1,14.42092419,17,33,1089,57,0,0,2005
1,17.45490837,12,19,361,39,0,1,1960
1,9.800019264,12,35,1225,53,0,0,2147
1,17.5744648,17,21,441,48,0,1,1207
1,16.55500031,14,7,49,46,0,1,2000
1,13.29497433,12,18,324,47,0,0,1260
1,11.84400272,12,4,16,43,0,1,90
1,46.64506149,12,12,144,47,0,0,1800
1,14.69998932,12,16,256,47,0,1,573
1,26.09008026,12,14,196,47,0,0,1825
1,9.899999619,12,3,9,46,0,0,75
1,9.048026085,9,1,1,34,0,4,1348
1,30.75006485,10,27,729,48,0,0,1880
1,8.499939919,12,12,144,30,0,1,1240
1,22.24999237,12,6,36,51,0,1,848
1,42.90999985,12,9,81,52,0,5,150
1,33.29999924,12,2,4,37,0,2,2000
1,13.81990337,12,6,36,32,0,2,1952
1,23.60000801,17,9,81,36,0,2,1456
1,13.00006771,12,16,256,35,0,2,1740
1,20.74994087,17,22,484,45,0,0,1400
1,6.300000191,12,26,676,56,0,0,2000
1,7.788924694,10,11,121,40,0,2,1750
1,10.47004032,12,11,121,45,1,2,1101
1,12,12,15,225,32,0,2,2000
1,16.97991562,12,13,169,45,0,0,1877
1,17.89999962,12,6,36,40,0,2,160
1,15.53993702,12,20,400,38,0,1,1886
1,9.883985519,12,17,289,49,0,4,1446
1,28.59995079,16,8,64,47,0,1,1500
1,17.66001129,13,13,169,52,0,0,860
1,25.99991798,13,15,225,34,0,1,1848
1,13.60200977,12,14,196,44,0,2,1678
1,15.80000019,16,14,196,36,0,3,160
1,41.09999466,17,6,36,50,0,0,108
1,10.77504158,12,24,576,45,0,0,1738
1,9.00004673,14,10,100,44,0,2,1170
1,24.39899445,12,2,4,57,0,2,15
1,37.30009079,17,9,81,35,0,0,2088
1,27.9999485,12,23,529,46,0,0,2490
1,13.70000267,14,12,144,30,2,1,135
1,17.20994377,12,8,64,42,0,3,1944
1,14.00001431,12,16,256,34,0,1,690
1,35.75502014,17,10,100,45,0,2,608
1,23.49999619,16,7,49,35,1,2,63
1,31.99993324,16,19,361,40,0,0,154
1,17.1499958,12,2,4,32,0,1,420
1,20.2500248,9,9,81,54,0,0,651
1,5.485984802,12,14,196,38,0,3,675
1,25.07504082,12,9,81,43,0,3,1663
1,18.21995163,16,16,256,54,0,0,1680
1,25.99999619,14,7,49,39,0,3,180
1,34.50007248,12,6,36,37,0,1,1581
1,12.39999962,12,22,484,46,0,2,1200
1,10.78684998,11,9,81,56,0,0,450
1,16.32300758,12,9,81,41,0,3,547
1,30.5,16,14,196,45,0,1,300
1,51.2996254,17,17,289,44,0,1,975
1,33.04997253,17,12,144,50,0,1,1621
1,34.75001144,14,13,169,37,0,5,300
1,16.40003967,12,8,64,44,0,1,1868
1,19.70007324,14,10,100,32,0,2,1803
1,6.600002766,12,16,256,34,1,1,2143
1,9.020008087,10,1,1,32,0,2,1080
1,10.4000082,12,6,36,37,0,3,1352
1,14.51998806,13,4,16,44,0,1,537
1,17.19999695,16,8,64,34,0,2,352
1,43,12,4,16,33,1,3,200
1,13.87195969,7,15,225,43,0,3,2045
1,-0.029057452,16,7,49,35,0,2,1253
1,16.76994324,14,14,196,43,0,1,1960
1,7.799999714,12,16,256,34,0,0,2000
1,14.5000639,10,15,225,36,0,3,1960
1,7.900000095,12,23,529,41,0,2,2000
1,79.80001068,16,19,361,41,0,0,1568
1,7.175970078,10,4,16,35,0,3,1225
1,17.5069828,12,12,144,32,1,3,780
1,20.60000038,14,12,144,30,0,0,480
1,18.55991554,12,25,625,43,0,0,1923
1,9.300000191,6,14,196,54,0,0,2000
1,5.120007515,15,14,196,35,0,2,2110
1,14.50003815,12,11,121,50,0,0,1664
1,19.79999924,17,7,49,34,1,1,48
1,18.29994965,14,18,324,52,0,0,1791
1,33.99993515,13,4,16,35,0,3,1404
1,11.62793636,6,37,1369,55,0,0,1920
1,11.80004597,16,13,169,35,0,0,2141
1,39.09997559,14,14,196,49,0,1,1720
1,18.43007088,15,17,289,38,2,2,3533
1,21,14,5,25,42,0,2,2000
1,59,8,2,4,48,0,1,800
1,25.29999924,14,0,0,51,0,0,3000
1,23.24899101,12,3,9,43,0,2,293
1,24.92808723,12,21,441,43,0,1,1872
1,14.78198814,12,20,400,38,0,1,2058
1,18.90002823,12,19,361,44,0,1,1832
1,21,12,4,16,36,1,3,120
1,10.00000954,12,19,361,38,0,0,1632
1,29.30997467,8,11,121,47,0,0,778
1,13.14003181,12,14,196,34,0,2,1984
1,25.08999443,17,8,64,40,1,2,225
1,14.59993172,12,13,169,31,0,1,1960
1,1.20000124,12,24,576,46,0,0,444
1,32.00000381,14,1,1,36,0,3,384
1,16.11997032,13,1,1,39,1,2,1170
1,26.50002289,17,3,9,36,0,2,1330
1,12.75005531,8,4,16,37,0,4,1350
1,12.89999962,12,21,441,39,0,4,480
1,10.69997501,11,10,100,36,1,3,1984
1,14.43403149,12,13,169,49,0,2,1944
1,23.70899963,12,9,81,45,1,1,50
1,15.1000042,17,14,196,32,2,0,460
1,18.19997597,10,2,4,36,0,5,680
1,22.64105606,12,21,441,40,0,1,2450
1,21.6400795,13,22,484,43,0,2,2144
1,23.99998474,12,14,196,33,0,1,1760
1,16.00001526,12,7,49,30,0,1,490
0,21.02499962,12,2,4,49,0,1,0
0,23.60000038,16,5,25,30,2,0,0
0,22.79999924,12,12,144,30,1,0,0
0,35.90999985,12,1,1,41,0,4,0
0,21.70000076,12,12,144,45,0,1,0
0,21.82299995,12,4,16,43,0,5,0
0,31,13,9,81,42,0,1,0
0,15.30000019,12,9,81,60,0,0,0
0,12.92500019,12,6,36,57,0,0,0
0,15.82999992,10,5,25,38,0,2,0
0,30.20000076,12,5,25,56,0,0,0
0,16.60000038,12,8,64,32,0,3,0
0,11,7,2,4,49,0,1,0
0,15,12,6,36,55,0,0,0
0,20.52799988,9,0,0,36,1,1,0
0,13.1260004,12,3,9,44,0,3,0
0,15.55000019,10,7,49,44,0,1,0
0,18.01000023,14,3,9,35,1,2,0
0,18.87400055,14,10,100,44,2,3,0
0,24.79999924,12,3,9,45,0,1,0
0,17.5,12,2,4,34,1,0,0
0,16.14999962,17,12,144,30,2,0,0
0,15.18900013,8,15,225,39,0,1,0
0,6,12,5,25,36,0,2,0
0,37.25,17,4,16,38,0,2,0
0,27.76000023,12,10,100,53,0,0,0
0,9.090000153,12,1,1,36,0,2,0
0,14.5,12,8,64,32,1,1,0
0,19.70000076,9,20,400,51,0,3,0
0,16.78800011,11,4,16,38,0,0,0
0,18.52000046,12,7,49,33,2,0,0
0,20.95000076,12,10,100,54,0,0,0
0,7.573999882,9,3,9,38,0,3,0
0,10.02700043,11,5,25,30,2,2,0
0,5,12,10,100,34,2,3,0
0,7.039999962,9,0,0,34,0,1,0
0,40.79999924,12,3,9,50,0,2,0
0,16.04999924,17,10,100,30,2,0,0
0,33.09999847,12,2,4,38,0,2,0
0,33.85599899,14,10,100,54,0,0,0
0,20.5,12,4,16,30,1,2,0
0,28.60000038,12,0,0,55,0,0,0
0,18.75,10,10,100,51,0,1,0
0,20.29999924,12,5,25,44,0,1,0
0,13.42000008,12,0,0,53,0,0,0
0,18.39999962,10,0,0,42,0,2,0
0,16.68199921,12,19,361,38,0,2,0
0,32.68500137,13,2,4,38,1,3,0
0,7.050000191,12,12,144,41,1,4,0
0,10.86699963,8,5,25,35,0,3,0
0,18.21999931,12,5,25,33,1,2,0
0,26.61300087,13,5,25,48,0,0,0
0,25,12,10,100,47,0,0,0
0,15.69999981,12,0,0,34,0,5,0
0,40.25,13,4,16,33,2,1,0
0,73.59999847,13,3,9,31,3,1,0
0,10.59200001,8,2,4,58,0,0,0
0,8,12,1,1,49,0,0,0
0,13.39999962,8,0,0,55,0,1,0
0,23.70000076,14,1,1,44,0,0,0
0,18.89999962,9,1,1,44,0,0,0
0,48.29999924,16,6,36,36,0,3,0
0,24.46999931,12,12,144,38,0,3,0
0,28.62999916,16,6,36,37,0,3,0
0,25.31999969,12,9,81,47,0,0,0
0,13.52999973,12,14,196,47,0,3,0
0,14.80000019,12,13,169,32,1,1,0
0,17.39999962,12,8,64,43,1,2,0
0,15.97999954,11,0,0,42,1,4,0
0,16.57600021,12,1,1,56,0,0,0
0,21.85000038,13,3,9,38,0,5,0
0,14.60000038,12,13,169,52,0,2,0
0,21.60000038,12,3,9,50,0,0,0
0,24,16,8,64,33,0,0,0
0,20.88299942,16,8,64,44,0,2,0
0,19.5,12,18,324,41,0,1,0
0,42.79999924,12,2,4,45,0,1,0
0,41.5,14,3,9,53,0,0,0
0,18.96500015,14,5,25,53,0,0,0
0,16.10000038,12,2,4,42,0,1,0
0,14.69999981,13,10,100,32,2,0,0
0,18.79999924,12,30,900,56,0,0,0
0,14.75,11,1,1,37,1,3,0
0,21,12,5,25,40,1,2,0
0,35.40000153,15,8,64,54,0,3,0
0,10.69999981,7,0,0,53,0,0,0
0,24.5,12,4,16,48,0,1,0
0,17.04500008,12,2,4,36,1,2,0
0,18.79999924,12,30,900,57,0,0,0
0,14,12,25,625,51,0,0,0
0,18.2140007,13,3,9,33,0,4,0
0,20.17700005,12,20,400,52,0,0,0
0,8.300000191,10,20,400,56,0,0,0
0,14.19999981,12,0,0,36,1,2,0
0,21.76799965,14,15,225,36,1,0,0
0,29.5529995,12,10,100,46,0,1,0
0,4.349999905,10,4,16,31,0,3,0
0,24,11,3,9,52,0,0,0
0,18.29999924,12,10,100,46,0,2,0
0,17.20000076,12,9,81,35,2,0,0
0,16.47599983,12,7,49,59,0,0,0
0,13.39999962,8,12,144,36,0,1,0
0,44.98799896,7,0,0,51,1,3,0
0,18.20000076,16,16,256,31,1,0,0
0,28,14,4,16,31,0,2,0
0,11.55000019,12,7,49,32,1,1,0
0,28.45000076,16,7,49,35,1,2,0
0,15.09599972,12,14,196,40,0,3,0
0,8.008999825,10,2,4,33,1,2,0
0,10.03999996,7,20,400,54,0,0,0
0,16.70000076,12,5,25,36,1,1,0
0,8.399999619,10,10,100,50,0,1,0
0,13,8,20,400,54,0,0,0
0,17.96999931,11,10,100,48,0,1,0
0,18.45000076,15,8,64,41,0,4,0
0,31,12,11,121,50,0,4,0
0,24.13500023,12,3,9,46,0,2,0
0,31.70000076,13,6,36,42,0,1,0
0,10.18999958,9,4,16,31,1,2,0
0,21.5739994,12,4,16,53,0,0,0
0,26.68000031,12,9,81,51,0,1,0
0,17.70000076,12,10,100,47,0,1,0
0,29.39999962,12,3,9,50,0,1,0
0,22.1590004,6,2,4,37,0,1,0
0,35,12,2,4,30,2,2,0
0,8.630000114,12,0,0,49,0,0,0
0,17.07999992,12,8,64,52,0,2,0
0,32.5,12,6,36,47,0,2,0
0,16,12,15,225,49,0,0,0
0,18.85000038,12,15,225,44,0,4,0
0,17.5,8,9,81,53,0,0,0
0,19.3920002,12,8,64,30,1,0,0
0,14.44999981,12,18,324,54,0,2,0
0,21.79999924,7,3,9,47,1,1,0
0,7.699999809,15,10,100,56,0,0,0
0,31.79999924,12,6,36,49,0,1,0
0,17.25799942,6,20,400,48,0,0,0
0,13.39900017,12,8,64,49,0,1,0
0,16.07299995,12,3,9,56,0,1,0
0,23.26000023,12,4,16,46,0,0,0
0,37.29999924,12,13,169,45,0,2,0
0,11,12,4,16,32,0,2,0
0,13.07499981,12,17,289,43,1,1,0
0,13.69999981,12,4,16,34,1,1,0
0,25.10000038,12,0,0,30,1,1,0
0,18.60000038,17,15,225,38,2,0,0
0,29,16,11,121,33,1,1,0
0,19.23699951,12,23,529,52,0,0,0
0,19.85499954,11,1,1,43,0,3,0
0,9.449999809,12,5,25,33,1,1,0
0,30,10,1,1,45,0,0,0
0,15,10,5,25,36,2,1,0
0,24.70100021,12,3,9,34,1,1,0
0,15.89999962,14,3,9,37,0,2,0
0,16.23999977,10,19,361,46,0,1,0
0,21.10000038,12,20,400,47,0,0,0
0,23,16,5,25,31,2,1,0
0,6.340000153,5,0,0,57,0,0,0
0,42.25,12,3,9,30,1,1,0
0,14.69400024,12,3,9,30,0,0,0
0,21.41699982,12,7,49,44,0,3,0
0,20.20000076,13,7,49,53,0,0,0
0,12.09000015,8,1,1,51,0,0,0
0,24.76000023,12,13,169,39,1,3,0
0,23,8,0,0,52,0,0,0
0,19.36499977,8,0,0,46,0,4,0
0,5.550000191,12,12,144,47,0,5,0
0,68.03500366,8,0,0,52,0,2,0
0,29.29999924,12,5,25,45,0,2,0
0,18.5,11,45,2025,60,0,0,0
0,22.58200073,13,10,100,41,0,2,0
0,21.5,8,2,4,39,0,3,0
0,28.06999969,12,3,9,49,0,1,0
0,50.29999924,15,1,1,32,1,1,0
0,23.5,12,5,25,33,1,3,0
0,15.5,10,10,100,36,0,4,0
0,13.43999958,13,4,16,37,3,3,0
0,8.100000381,12,7,49,30,1,2,0
0,9.800000191,11,9,81,44,1,1,0
0,20.29999924,12,5,25,48,0,1,0
0,15,11,4,16,40,0,4,0
0,56.09999847,13,11,121,47,0,0,0
0,22.84600067,12,9,81,36,0,2,0
0,22.22500038,11,4,16,40,0,2,0
0,17.63500023,12,2,4,46,0,1,0
0,18.5,12,23,529,52,0,0,0
0,13.39000034,12,3,9,44,0,1,0
0,15.14999962,10,15,225,45,0,1,0
0,16.20000076,7,8,64,30,2,1,0
0,33.91999817,12,3,9,40,1,3,0
0,14,12,25,625,43,0,1,0
0,16.73600006,12,2,4,49,0,2,0
0,30.64999962,12,0,0,46,1,4,0
0,12.39999962,11,19,361,52,0,0,0
0,19.02199936,12,3,9,31,1,1,0
0,11.20300007,10,7,49,42,1,1,0
0,19.87599945,11,1,1,33,0,3,0
0,57,16,9,81,57,0,0,0
0,18.29000092,10,3,9,49,0,0,0
0,20.21999931,14,8,64,45,0,1,0
